id	type	code	report	target	specimen	analyzedgene	method	comment	comment1	comment2	Mutation_Comment
307	MLPA	LPE377	PMP22 Gene MLPA Analysis Report	"Hereditary neuropathy with liability to pressure palsies (MIM #162500), Charcot-Marie-Tooth disease, type 1A (MIM#118220)"	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen 	PMP22 on 17p12	*Multiplex Ligation-dependent Probe Amplification (MLPA)		"HNPP 는 말초 신경병증으로 압박마비가 주 소견이며 이외에도 tingling sensation, 저림, 통증, 쇠약, 근위축 등을 유발할 수 있습니다. HNPP 의 증상은 주로 십대 후반에서 이십대 초반에 나타나기 시작하며 비골신경, 척골신경, 정중신경을 주로 침범합니다. Charcot-Marie-Tooth neuropathy type 1 (CMT1)은 탈수초 말초 신경병증으로 원위 근육 쇠약 및 위축, 감각 손실, 느린 신경 전도 속도를 특징으로 합니다. 환자들은 5-25 세 사이에 증상이 발견되며, 상염색체 우성 유전양상을 보입니다. PMP22 유전자는 유전성 압박마비편향 신경병증 및 샤르코-마리-투스병 1A 형의 단일 원인 유전자로서 유전성 압박마비편향 신경병증에서는 PMP22 유전자의 결실 소견이 관찰되며 샤르코- 마리-투스병 1A 형의 경우 PMP22 유전자의 중복 소견이 관찰됩니다. 본 검사는 PMP22 유전자의 결실/중복을 검사하는 방법으로, 전체 유전성 압박마비편향 신경병증 환자의 약 85%에서 본 검사법으로 PMP22 유전자의 결실 소견을 보이며, 샤르코-마리-투스병 1A 형 환자의 경우 70-80%에서 본 검사법으로 중복 소견을 보입니다. HNPP 환자의 약 15%에서 관찰되는 PMP22 유전자의 점 돌연변이는 본 검사법으로는 확인할 수 없습니다. CMT1 에는 여러 아형이 있으며 본 검사는 전체 CMT1 의 70-80%에 해당하는 가장 빈도가 높은 아형인 CMT1A 의 원인 유전자인 PMP22 유전자의 중복을 검사하는 방법이며 CMT1 의 다른 아형인 CMT1B, CMT1C, CMT1D, CMT1E, CMT2E/1F 의 원인 유전자의 변이는 본 검사로는 확인할 수 없습니다."	"* The P033-B4 CMT1 probemix contains probes for the PMP22, COX10, & TEKT3 genes located in the CMT/HNPP region at 17p12. Probes for each of the five PMP22 exons are present in this probemix. In addition, this probemix contains several probes just outside the CMT/HNPP region for reference. Finally, 2 probes for KIF1B are included. Defects in the KIF1B gene have been implicated in Charcot Marie disease type 2A1."	
308	Genetic	LPE454	골수부전증후군 [NGS]	Bone Marrow Failure (112 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
310	MLPA	LPE464	PARK2 Gene MLPA Analysis Report	"Parkinson disease, juvenile, type 2 (OMIM #600116)"	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen	PARK2 on 6p26	*Multiplex Ligation-dependent Probe Amplification (MLPA)				
311	Genetic	LPE439	Long QT panel [NGS]	Long QT syndrome (187 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
312	Genetic	LPE498	혈전성 미세혈관병증 [NGS]	Thrombotic Microangiopathy (48 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
313	Genetic	LPE497	유전성 암 [NGS]	Cancer (151 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
314	Genetic	LPE521	유전성 신경병증 [NGS]	Neuropathy (470 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
315	Genetic	LPE520	유전성 근신경계 질환 [NGS]	Neuromuscular disorder (160 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
316	SEQ	LPE310	MEN1 Gene Sequencing Analysis Report								
317	Genetic	LPE529	유전성 운동실조증 [NGS]	Ataxia (402 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
318	Genetic	LPE524	유전성 저신장증 [NGS]	Short stature (233 genes)	Genomic DNA isolated from peripheral blood leukocytes-adequate specimen		*Massively parallel sequencing		"Total genomic DNA was extracted from the each sample.  The TruSeq DNA Sample Preparation kit of Illumina was used to make the library. The Agilent SureSelect Target enrichment kit was used for in-solution enrichment of target regions. The enriched fragments were then amplified and sequenced on the HiSeq2000 system (illumina). After demultiplexing, the reads were aligned to the human reference genome hg19 (GRCh37) using BWA (0.7.12). Duplicate reads were removed with Picard MarkDuplicates (1.130), local realignment around indels was performed with GATK RealignerTargetCreator (3.4.0), base scores were recalibrated with GATK BaseRecalibrator (3.4.0), and then variants were called with GATK HaplotypeCaller (3.4.0). Variants were annotated using SnpEff (4.1g). 본 검사는 massively parallel sequencing 방법을 이용하여 연관된 유전자의 모든 coding exon과 인접 intron 부위를 분석하는 검사법입니다.  본 검사실은 2015 ACMG 지침의 분류에 따른  Pathogenic, Likely Pathogenic, Uncertain significance  변이에 대하여 Sanger sequencing으로 확인 후 보고하며 Likely benign, Benign 변이는 보고하지 않습니다(Genet Med. 2015 May;17(5):405-24.). "	"The analysis was optimised to identify base pair substitutions with a high sensitivity. The sensitivity for small insertions and deletions was lower. Deep-intronic mutations, mutations in the promoter region, repeats, large exonic deletions and duplications, and other structural variants were not detected by this test."	
319	SEQ	LPE342	STAR Gene Sequencing Analysis Report								
320	SEQ	LPE313	PRF1 Gene Sequencing Analysis Report								
321	SEQ	LPE314	UNC13D Gene Sequencing Analysis Report								
